varied_weight,value,W_DIALOGUE,W_FRANCHISE,W_YEAR_PENALTY,W_CF,precision,recall
W_CF,0.0,0.6818181818181818,0.2272727272727273,0.09090909090909091,0.0,0.005733333333333334,0.005903187334024054
W_CF,0.2,0.5454545454545454,0.18181818181818185,0.07272727272727274,0.2,0.04773333333333333,0.034054708786055946
W_CF,0.4,0.40909090909090906,0.13636363636363638,0.05454545454545454,0.4,0.06506666666666666,0.04535687376466005
W_CF,0.6,0.2727272727272727,0.09090909090909093,0.03636363636363637,0.6,0.06733333333333333,0.04532805985685655
W_CF,0.8,0.13636363636363633,0.04545454545454545,0.018181818181818177,0.8,0.06893333333333333,0.045060257521913165
W_CF,0.95,0.034090909090909116,0.011363636363636374,0.00454545454545455,0.95,0.06866666666666667,0.04520726942936083
W_DIALOGUE,0.0,0.0,0.06097560975609757,0.024390243902439025,0.9146341463414634,0.06960000000000001,0.04610655232010168
W_DIALOGUE,0.2,0.2,0.04878048780487806,0.019512195121951223,0.7317073170731708,0.06826666666666667,0.04449009800222018
W_DIALOGUE,0.4,0.4,0.03658536585365854,0.014634146341463414,0.5487804878048781,0.06586666666666667,0.044550649978782164
W_DIALOGUE,0.6,0.6,0.02439024390243903,0.009756097560975611,0.3658536585365854,0.06613333333333332,0.04497941785664373
W_DIALOGUE,0.8,0.8,0.012195121951219511,0.004878048780487804,0.18292682926829265,0.058800000000000005,0.042153247261642886
W_DIALOGUE,0.95,0.95,0.003048780487804881,0.0012195121951219523,0.04573170731707321,0.039733333333333336,0.02789356122160084
W_FRANCHISE,0.0,0.16304347826086954,0.0,0.021739130434782608,0.8152173913043478,0.0684,0.04493256445557591
W_FRANCHISE,0.2,0.13043478260869565,0.2,0.017391304347826087,0.6521739130434783,0.06946666666666666,0.04567198293183651
W_FRANCHISE,0.4,0.09782608695652172,0.4,0.013043478260869565,0.48913043478260865,0.06906666666666667,0.045637865230174934
W_FRANCHISE,0.6,0.06521739130434782,0.6,0.008695652173913044,0.32608695652173914,0.0684,0.045167568275667466
W_FRANCHISE,0.8,0.0326086956521739,0.8,0.004347826086956521,0.1630434782608695,0.06813333333333334,0.04509696072230129
W_FRANCHISE,0.95,0.008152173913043485,0.95,0.0010869565217391313,0.04076086956521743,0.06773333333333333,0.044795373420713984
W_YEAR_PENALTY,0.0,0.15789473684210525,0.052631578947368425,0.0,0.7894736842105263,0.0688,0.04493323818959718
W_YEAR_PENALTY,0.2,0.12631578947368421,0.04210526315789474,0.2,0.6315789473684211,0.05426666666666667,0.03759534296791531
W_YEAR_PENALTY,0.4,0.09473684210526315,0.031578947368421054,0.4,0.47368421052631576,0.02986666666666667,0.021904298179788506
W_YEAR_PENALTY,0.6,0.06315789473684211,0.02105263157894737,0.6,0.31578947368421056,0.017333333333333333,0.012952060719213539
W_YEAR_PENALTY,0.8,0.03157894736842105,0.010526315789473682,0.8,0.15789473684210523,0.013733333333333334,0.009152809825898918
W_YEAR_PENALTY,0.95,0.00789473684210527,0.0026315789473684236,0.95,0.03947368421052635,0.013066666666666667,0.008580224471190657
