group,mean,count,std
1,6.59650959860384,573,1.0472182759471094
2,6.117477876106195,452,1.1206308850110778
3,5.886749999999999,400,1.2099418729177034
4,5.746052631578947,152,1.2120740026665238
5,5.677358490566038,159,1.1643395763917574
