method,precision_at_10,recall_at_10,delta_precision,delta_recall
Our system,0.057,0.0521972933851722,0.0,0.0
Popular,0.12012,0.10017451700086638,0.06312000000000001,0.04797722361569418
Highest-rated,0.0472,0.04160533199734298,-0.009800000000000003,-0.010591961387829217
Random,0.00018000000000000004,5.385627152256174e-05,-0.05682,-0.05214343711364964
