franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
Balto,2,Balto II: Wolf Quest,2002,3,2.79,2.95,-0.16,-5.0,worse
Balto,3,Balto III: Wings of Change,2004,3,2.65,2.95,-0.3,-10.0,worse
Barbershop,1,Barbershop,2002,3,3.13,2.92,0.21,7.0,better
Barbershop,2,Barbershop 2: Back in Business,2004,3,2.81,2.92,-0.11,-4.0,worse
Barbershop,3,Barbershop: The Next Cut,2016,3,2.83,2.92,-0.09,-3.0,worse
Barbie & Kendra,1,Corona Zombies,2020,3,2.06,2.56,-0.5,-20.0,worse
Barbie & Kendra,2,Barbie & Kendra Save the Tiger King,2020,3,2.75,2.56,0.19,7.0,better
Barbie & Kendra,3,Barbie & Kendra Storm Area 51,2020,3,2.88,2.56,0.32,12.0,better
Barbie Fairytopia,1,Barbie: Fairytopia,2005,3,3.33,3.36,-0.03,-1.0,worse
Barbie Fairytopia,2,Barbie Fairytopia: Mermaidia,2006,3,3.51,3.36,0.15,4.0,better
Barbie Fairytopia,3,Barbie Fairytopia: Magic of the Rainbow,2007,3,3.24,3.36,-0.12,-4.0,worse
Barbie and Her Sisters,1,Barbie & Her Sisters in A Pony Tale,2013,3,2.85,2.62,0.23,9.0,better
Barbie and Her Sisters,2,Barbie & Her Sisters in the Great Puppy Adventure,2015,3,2.66,2.62,0.04,2.0,better
Barbie and Her Sisters,3,Barbie & Her Sisters in a Puppy Chase,2016,3,2.36,2.62,-0.26,-10.0,worse
Basket Case Trilogy,1,Basket Case,1982,3,3.26,3.03,0.23,8.0,better
Basket Case Trilogy,2,Basket Case 2,1990,3,3.0,3.03,-0.03,-1.0,worse
Basket Case Trilogy,3,Basket Case 3: The Progeny,1991,3,2.82,3.03,-0.21,-7.0,worse
Batman (DC Universe Animated),1,Batman: Mask of the Phantasm,1993,4,3.99,3.22,0.77,24.0,better
Batman (DC Universe Animated),2,Batman & Mr. Freeze: SubZero,1998,4,3.33,3.22,0.1,3.0,better
Batman (DC Universe Animated),3,Batman: Mystery of the Batwoman,2003,4,3.05,3.22,-0.18,-6.0,worse
Batman (DC Universe Animated),4,Batman and Harley Quinn,2017,4,2.53,3.22,-0.7,-22.0,worse
Batman,1,Batman,1989,4,3.6,2.85,0.75,26.0,better
Batman,2,Batman Returns,1992,4,3.54,2.85,0.69,24.0,better
Batman,3,Batman Forever,1995,4,2.44,2.85,-0.41,-14.0,worse
Batman,4,Batman & Robin,1997,4,1.81,2.85,-1.04,-37.0,worse
Batman Unlimited,1,Batman Unlimited: Animal Instincts,2015,3,2.56,2.61,-0.05,-2.0,worse
Batman Unlimited,2,Batman Unlimited: Monster Mayhem,2015,3,2.55,2.61,-0.06,-2.0,worse
Batman Unlimited,3,Batman Unlimited: Mechs vs. Mutants,2016,3,2.71,2.61,0.1,4.0,better
Battal Gazi [Seri],1,Battal Gazi Destanı,1971,4,3.11,3.07,0.04,1.0,better
Battal Gazi [Seri],2,Battal Gazi'nin İntikamı,1973,4,3.05,3.07,-0.02,-1.0,worse
Battal Gazi [Seri],3,"Defend Yourself, Battal Gazi is Coming",1973,4,3.06,3.07,-0.01,-0.0,worse
Battal Gazi [Seri],4,Battal Gazi'nin Oğlu,1974,4,3.06,3.07,-0.01,-0.0,worse
Battlestar Galactica (Reboot),1,Battlestar Galactica: Razor,2007,3,3.5,3.29,0.21,6.0,better
Battlestar Galactica (Reboot),2,Battlestar Galactica: The Plan,2009,3,3.26,3.29,-0.03,-1.0,worse
Battlestar Galactica (Reboot),3,Battlestar Galactica: Blood & Chrome,2012,3,3.11,3.29,-0.18,-5.0,worse
Baztan Trilogy,1,The Invisible Guardian,2017,3,3.04,2.99,0.05,2.0,better
Baztan Trilogy,2,The Legacy of the Bones,2019,3,3.02,2.99,0.03,1.0,better
Baztan Trilogy,3,Offering to the Storm,2020,3,2.9,2.99,-0.09,-3.0,worse
Beach Party,1,Beach Party,1963,7,2.97,2.95,0.02,1.0,better
Beach Party,2,Muscle Beach Party,1964,7,2.97,2.95,0.02,1.0,better
Beach Party,3,Bikini Beach,1964,7,3.01,2.95,0.06,2.0,better
Beach Party,4,Pajama Party,1964,7,3.02,2.95,0.07,2.0,better
Beach Party,5,Beach Blanket Bingo,1965,7,2.86,2.95,-0.09,-3.0,worse
Beach Party,6,How to Stuff a Wild Bikini,1965,7,2.89,2.95,-0.06,-2.0,worse
Beach Party,7,The Ghost in the Invisible Bikini,1966,7,2.92,2.95,-0.03,-1.0,worse
Beauty and the Beast,1,Beauty and the Beast,1991,3,3.88,2.9,0.98,34.0,better
Beauty and the Beast,2,Beauty and the Beast: The Enchanted Christmas,1997,3,2.63,2.9,-0.27,-9.0,worse
Beauty and the Beast,3,Belle's Magical World,1998,3,2.19,2.9,-0.71,-24.0,worse
Beck - Historien om ett brott (samling),1,Brandbilen som försvann,1993,6,3.25,3.24,0.01,0.0,better
