franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
Detective Knight,1,Detective Knight: Rogue,2022,3,2.4,2.51,-0.11,-4.0,worse
Detective Knight,2,Detective Knight: Redemption,2022,3,2.6,2.51,0.09,4.0,better
Detective Knight,3,Detective Knight: Independence,2023,3,2.52,2.51,0.01,0.0,better
Dexter Riley,1,The Computer Wore Tennis Shoes,1969,3,2.88,2.95,-0.07,-2.0,worse
Dexter Riley,2,"Now You See Him, Now You Don't",1972,3,3.18,2.95,0.23,8.0,better
Dexter Riley,3,The Strongest Man in the World,1975,3,2.79,2.95,-0.16,-5.0,worse
Dhamaal,1,Dhamaal,2007,3,3.43,2.81,0.62,22.0,better
Dhamaal,2,Double Dhamaal,2011,3,2.57,2.81,-0.24,-9.0,worse
Dhamaal,3,Total Dhamaal,2019,3,2.43,2.81,-0.38,-14.0,worse
Dhoom,1,Dhoom,2004,3,2.92,2.95,-0.03,-1.0,worse
Dhoom,2,Dhoom 2,2006,3,3.3,2.95,0.35,12.0,better
Dhoom,3,Dhoom 3,2013,3,2.62,2.95,-0.33,-11.0,worse
Diary,1,Diary for My Children,1984,3,3.7,3.55,0.15,4.0,better
Diary,2,Diary for My Loves,1987,3,3.52,3.55,-0.03,-1.0,worse
Diary,3,Diary for My Father and My Mother,1990,3,3.44,3.55,-0.11,-3.0,worse
Diary of a Wimpy Kid,1,Diary of a Wimpy Kid,2010,4,3.06,2.74,0.31,11.0,better
Diary of a Wimpy Kid,2,Diary of a Wimpy Kid: Rodrick Rules,2011,4,3.53,2.74,0.78,28.0,better
Diary of a Wimpy Kid,3,Diary of a Wimpy Kid: Dog Days,2012,4,2.98,2.74,0.23,8.0,better
Diary of a Wimpy Kid,4,Diary of a Wimpy Kid: The Long Haul,2017,4,1.41,2.74,-1.34,-49.0,worse
Die Hard,1,Die Hard,1988,5,4.07,3.14,0.93,30.0,better
Die Hard,2,Die Hard 2,1990,5,3.29,3.14,0.15,5.0,better
Die Hard,3,Die Hard: With a Vengeance,1995,5,3.67,3.14,0.53,17.0,better
Die Hard,4,Live Free or Die Hard,2007,5,2.9,3.14,-0.24,-8.0,worse
Die Hard,5,A Good Day to Die Hard,2013,5,1.79,3.14,-1.35,-43.0,worse
Die Supernasen Filmreihe,1,Piratensender Powerplay,1982,4,3.04,2.93,0.11,4.0,better
Die Supernasen Filmreihe,2,Die Supernasen,1983,4,2.87,2.93,-0.06,-2.0,worse
Die Supernasen Filmreihe,3,Zwei Nasen tanken Super,1984,4,2.8,2.93,-0.13,-4.0,worse
Die Supernasen Filmreihe,4,The Beginner,1985,4,3.0,2.93,0.07,2.0,better
Die Vampirschwestern,1,Vampire Sisters,2012,3,3.0,2.85,0.15,5.0,better
Die Vampirschwestern,2,Vampire Sisters 2: Bats in the Belly,2014,3,2.77,2.85,-0.08,-3.0,worse
Die Vampirschwestern,3,Vampire Sisters 3: Journey to Transylvania,2016,3,2.77,2.85,-0.08,-3.0,worse
Digimon Adventure tri.,1,Digimon Adventure tri. Part 1: Reunion,2015,6,3.26,3.19,0.07,2.0,better
Digimon Adventure tri.,2,Digimon Adventure tri. Part 2: Determination,2016,6,3.23,3.19,0.04,1.0,better
Digimon Adventure tri.,3,Digimon Adventure tri. Part 3: Confession,2016,6,3.41,3.19,0.22,7.0,better
Digimon Adventure tri.,4,Digimon Adventure tri. Part 4: Loss,2017,6,3.07,3.19,-0.12,-4.0,worse
Digimon Adventure tri.,5,Digimon Adventure tri. Part 5: Coexistence,2017,6,3.02,3.19,-0.17,-5.0,worse
Digimon Adventure tri.,6,Digimon Adventure tri. Part 6: Future,2018,6,3.14,3.19,-0.05,-2.0,worse
Dilan,1,Dilan 1990,2018,3,3.01,3.03,-0.02,-1.0,worse
Dilan,2,Dilan 1991,2019,3,3.03,3.03,-0.0,-0.0,equal
Dilan,3,Milea,2020,3,3.06,3.03,0.03,1.0,better
Dinesh Vijan's horror-comedy universe,1,Stree,2018,3,3.22,2.92,0.3,10.0,better
Dinesh Vijan's horror-comedy universe,2,Roohi,2021,3,2.5,2.92,-0.42,-14.0,worse
Dinesh Vijan's horror-comedy universe,3,Bhediya,2022,3,3.03,2.92,0.11,4.0,better
Dirty Harry,1,Dirty Harry,1971,5,3.81,3.34,0.47,14.0,better
Dirty Harry,2,Magnum Force,1973,5,3.51,3.34,0.17,5.0,better
Dirty Harry,3,The Enforcer,1976,5,3.13,3.34,-0.21,-6.0,worse
Dirty Harry,4,Sudden Impact,1983,5,3.27,3.34,-0.07,-2.0,worse
Dirty Harry,5,The Dead Pool,1988,5,2.96,3.34,-0.38,-11.0,worse
Disney Buddies,1,Air Buddies,2006,7,2.48,2.36,0.12,5.0,better
Disney Buddies,2,Snow Buddies,2008,7,2.41,2.36,0.05,2.0,better
Disney Buddies,3,Space Buddies,2009,7,2.31,2.36,-0.05,-2.0,worse
Disney Buddies,4,Santa Buddies,2009,7,2.33,2.36,-0.03,-1.0,worse
Disney Buddies,5,Spooky Buddies,2011,7,2.48,2.36,0.12,5.0,better
Disney Buddies,6,Treasure Buddies,2012,7,2.3,2.36,-0.06,-3.0,worse
Disney Buddies,7,Super Buddies,2013,7,2.21,2.36,-0.15,-6.0,worse
Divergent,1,Divergent,2014,3,2.76,2.36,0.4,17.0,better
Divergent,2,Insurgent,2015,3,2.36,2.36,-0.0,-0.0,equal
Divergent,3,Allegiant,2016,3,1.97,2.36,-0.39,-17.0,worse
Downton Abbey,1,Downton Abbey: Christmas at Downton Abbey,2011,4,3.85,3.86,-0.0,-0.0,equal
Downton Abbey,2,Downton Abbey: A Journey to the Highlands,2012,4,3.83,3.86,-0.02,-1.0,worse
Downton Abbey,3,Downton Abbey: The London Season,2013,4,3.74,3.86,-0.11,-3.0,worse
Downton Abbey,4,Downton Abbey: The Finale,2015,4,4.0,3.86,0.15,4.0,better
Dr. Dolittle,1,Doctor Dolittle,1998,5,2.55,2.26,0.29,13.0,better
Dr. Dolittle,2,Dr. Dolittle 2,2001,5,2.18,2.26,-0.08,-4.0,worse
Dr. Dolittle,3,Dr. Dolittle 3,2006,5,1.96,2.26,-0.3,-13.0,worse
Dr. Dolittle,4,Dr. Dolittle: Tail to the Chief,2008,5,2.23,2.26,-0.03,-1.0,worse
Dr. Dolittle,5,Dr. Dolittle: Million Dollar Mutts,2009,5,2.4,2.26,0.14,6.0,better
Dracula (Hammer),1,Dracula,1958,9,3.59,3.16,0.43,14.0,better
Dracula (Hammer),2,The Brides of Dracula,1960,9,3.33,3.16,0.17,5.0,better
Dracula (Hammer),3,Dracula: Prince of Darkness,1966,9,3.3,3.16,0.14,4.0,better
Dracula (Hammer),4,Dracula Has Risen from the Grave,1968,9,3.19,3.16,0.03,1.0,better
Dracula (Hammer),5,Taste the Blood of Dracula,1970,9,3.16,3.16,0.0,0.0,equal
Dracula (Hammer),6,Scars of Dracula,1970,9,2.99,3.16,-0.17,-5.0,worse
Dracula (Hammer),7,Dracula A.D. 1972,1972,9,3.04,3.16,-0.12,-4.0,worse
Dracula (Hammer),8,The Satanic Rites of Dracula,1973,9,2.77,3.16,-0.39,-12.0,worse
Dracula (Hammer),9,The Legend of the 7 Golden Vampires,1974,9,3.03,3.16,-0.13,-4.0,worse
Dracula (Universal),1,Dracula,1931,4,3.54,3.1,0.44,14.0,better
Dracula (Universal),2,Dracula's Daughter,1936,4,3.19,3.1,0.09,3.0,better
Dracula (Universal),3,Son of Dracula,1943,4,2.89,3.1,-0.21,-7.0,worse
Dracula (Universal),4,House of Dracula,1945,4,2.79,3.1,-0.31,-10.0,worse
Dracula 2000,1,Dracula 2000,2000,3,2.27,2.29,-0.02,-1.0,worse
Dracula 2000,2,Dracula II: Ascension,2003,3,2.2,2.29,-0.09,-4.0,worse
Dracula 2000,3,Dracula III: Legacy,2005,3,2.39,2.29,0.1,4.0,better
Dragon Ball,1,Dragon Ball: Curse of the Blood Rubies,1986,4,3.08,3.08,-0.0,-0.0,equal
Dragon Ball,2,Dragon Ball: Sleeping Princess in Devil's Castle,1987,4,2.91,3.08,-0.17,-6.0,worse
Dragon Ball,3,Dragon Ball: Mystical Adventure,1988,4,3.04,3.08,-0.04,-1.0,worse
Dragon Ball,4,Dragon Ball: The Path to Power,1996,4,3.31,3.08,0.23,7.0,better
Dragon Ball Super,1,Dragon Ball Z: Battle of Gods,2013,4,3.28,3.37,-0.09,-3.0,worse
Dragon Ball Super,2,Dragon Ball Z: Resurrection 'F',2015,4,3.04,3.37,-0.33,-10.0,worse
Dragon Ball Super,3,Dragon Ball Super: Broly,2018,4,3.75,3.37,0.38,11.0,better
Dragon Ball Super,4,Dragon Ball Super: Super Hero,2022,4,3.42,3.37,0.05,1.0,better
Dragon Inn,1,Dragon Inn,1967,3,3.99,3.52,0.47,13.0,better
Dragon Inn,2,Dragon Inn,1992,3,3.67,3.52,0.15,4.0,better
Dragon Inn,3,Flying Swords of Dragon Gate,2011,3,2.89,3.52,-0.63,-18.0,worse
DragonHeart,1,DragonHeart,1996,5,3.01,2.66,0.35,13.0,better
DragonHeart,2,DragonHeart: A New Beginning,2000,5,2.21,2.66,-0.45,-17.0,worse
DragonHeart,3,Dragonheart 3: The Sorcerer's Curse,2015,5,2.61,2.66,-0.05,-2.0,worse
DragonHeart,4,Dragonheart: Battle for the Heartfire,2017,5,2.71,2.66,0.05,2.0,better
DragonHeart,5,Dragonheart: Vengeance,2020,5,2.74,2.66,0.08,3.0,better
Draper's Tours,1,Murder on the Blackpool Express,2017,3,3.0,3.0,0.0,0.0,equal
Draper's Tours,2,Death on the Tyne,2018,3,3.01,3.0,0.01,0.0,better
Draper's Tours,3,Dial M for Middlesbrough,2019,3,2.99,3.0,-0.01,-0.0,worse
Dreileben,1,Dreileben: Beats Being Dead,2011,3,3.54,3.43,0.11,3.0,better
Dreileben,2,Dreileben: Don’t Follow Me Around,2011,3,3.41,3.43,-0.02,-1.0,worse
Dreileben,3,Dreileben: One Minute of Darkness,2011,3,3.34,3.43,-0.09,-3.0,worse
Drunken Master,1,Drunken Master,1978,3,3.75,3.57,0.18,5.0,better
Drunken Master,2,Drunken Master II,1994,3,3.89,3.57,0.32,9.0,better
Drunken Master,3,Drunken Master III,1994,3,3.07,3.57,-0.5,-14.0,worse
Ducobu,1,Ducoboo,2011,4,2.67,2.6,0.08,3.0,better
Ducobu,2,Ducoboo 2: Crazy Vacation,2012,4,2.61,2.6,0.02,1.0,better
Ducobu,3,Ducoboo 3,2020,4,2.55,2.6,-0.04,-2.0,worse
Ducobu,4,Ducobu 4 President,2022,4,2.55,2.6,-0.04,-2.0,worse
Dumb and Dumber,1,Dumb and Dumber,1994,3,3.32,2.41,0.91,38.0,better
Dumb and Dumber,2,Dumb and Dumberer: When Harry Met Lloyd,2003,3,1.68,2.41,-0.73,-30.0,worse
Dumb and Dumber,3,Dumb and Dumber To,2014,3,2.23,2.41,-0.18,-7.0,worse
Dungeons & Dragons,1,Dungeons & Dragons,2000,3,1.76,2.23,-0.47,-21.0,worse
Dungeons & Dragons,2,Dungeons & Dragons: Wrath of the Dragon God,2005,3,2.31,2.23,0.08,4.0,better
Dungeons & Dragons,3,Dungeons & Dragons: The Book of Vile Darkness,2012,3,2.63,2.23,0.4,18.0,better
Easy Money,1,Easy Money,2010,3,3.3,3.26,0.04,1.0,better
Easy Money,2,Easy Money: Hard to Kill,2012,3,3.28,3.26,0.02,1.0,better
Easy Money,3,Easy Money III: Life Deluxe,2013,3,3.21,3.26,-0.05,-2.0,worse
Eating Out,1,Eating Out,2004,5,2.47,2.67,-0.2,-7.0,worse
Eating Out,2,Eating Out 2: Sloppy Seconds,2006,5,2.82,2.67,0.15,6.0,better
Eating Out,3,Eating Out: All You Can Eat,2009,5,2.71,2.67,0.04,1.0,better
Eating Out,4,Eating Out: Drama Camp,2011,5,2.67,2.67,0.0,0.0,equal
Eating Out,5,Eating Out: The Open Weekend,2011,5,2.68,2.67,0.01,0.0,better
Eberhofer,1,Dampfnudelblues,2013,9,3.31,3.3,0.01,0.0,better
Eberhofer,2,Winterkartoffelknödel,2014,9,3.28,3.3,-0.02,-1.0,worse
Eberhofer,3,Schweinskopf al dente,2016,9,3.35,3.3,0.05,2.0,better
Eberhofer,4,Griessnockerlaffaere,2017,9,3.39,3.3,0.09,3.0,better
Eberhofer,5,Sauerkrautkoma,2018,9,3.32,3.3,0.02,1.0,better
Eberhofer,6,Leberkäsjunkie,2019,9,3.29,3.3,-0.01,-0.0,worse
Eberhofer,7,Kaiserschmarrndrama,2021,9,3.33,3.3,0.03,1.0,better
Eberhofer,8,Guglhupfgeschwader,2022,9,3.25,3.3,-0.05,-2.0,worse
Eberhofer,9,Rehragout-Rendezvous,2023,9,3.21,3.3,-0.09,-3.0,worse
El Crack,1,El crack,1981,3,3.68,3.55,0.13,4.0,better
El Crack,2,El crack dos,1983,3,3.58,3.55,0.03,1.0,better
El Crack,3,The Crack: Inception,2019,3,3.4,3.55,-0.15,-4.0,worse
El mundo es suyo - Colección,1,The World is Ours,2012,3,3.46,3.15,0.31,10.0,better
El mundo es suyo - Colección,2,El mundo es suyo,2018,3,3.01,3.15,-0.14,-4.0,worse
El mundo es suyo - Colección,3,El mundo es vuestro,2022,3,2.97,3.15,-0.18,-6.0,worse
Ellembi Series,1,El Lemby,2002,3,3.22,3.05,0.17,6.0,better
Ellembi Series,2,You-Know-Who,2003,3,3.18,3.05,0.13,4.0,better
Ellembi Series,3,Lembi 8 Giga,2010,3,2.75,3.05,-0.3,-10.0,worse
Elling,1,Elling,2001,3,3.66,3.41,0.25,7.0,better
Elling,2,Mother's Elling,2003,3,3.28,3.41,-0.13,-4.0,worse
Elling,3,Love Me Tomorrow,2005,3,3.29,3.41,-0.12,-4.0,worse
Elvis Gratton,1,Elvis Gratton,1985,3,3.38,3.23,0.15,5.0,better
Elvis Gratton,2,Elvis Gratton 2: Miracle à Memphis,1999,3,3.23,3.23,0.0,0.0,equal
Elvis Gratton,3,Elvis Gratton 3: Le retour d'Elvis Wong,2004,3,3.07,3.23,-0.16,-5.0,worse
Emil of Lönneberga,1,Emil i Lönneberga,1971,3,3.52,3.5,0.02,1.0,better
Emil of Lönneberga,2,Nya hyss av Emil i Lönneberga,1972,3,3.5,3.5,-0.0,-0.0,equal
Emil of Lönneberga,3,Emil och griseknoen,1973,3,3.49,3.5,-0.01,-0.0,worse
Erkan & Stefan,1,Erkan & Stefan,2000,3,2.79,2.76,0.03,1.0,better
Erkan & Stefan,2,Erkan & Stefan 2,2002,3,2.73,2.76,-0.03,-1.0,worse
Erkan & Stefan,3,Erkan & Stefan 3,2005,3,2.77,2.76,0.01,0.0,better
Escape Plan,1,Escape Plan,2013,3,2.83,2.18,0.65,30.0,better
Escape Plan,2,Escape Plan 2: Hades,2018,3,1.75,2.18,-0.43,-20.0,worse
Escape Plan,3,Escape Plan: The Extractors,2019,3,1.96,2.18,-0.22,-10.0,worse
Evangelion,1,Neon Genesis Evangelion: Death and Rebirth,1997,4,3.64,3.88,-0.23,-6.0,worse
Evangelion,2,Neon Genesis Evangelion: The End of Evangelion,1997,4,4.46,3.88,0.58,15.0,better
Evangelion,3,Evangelion: Death (True)²,1998,4,3.44,3.88,-0.44,-11.0,worse
Evangelion,4,Revival of Evangelion,1998,4,3.96,3.88,0.08,2.0,better
Ever After High,1,Ever After High: Thronecoming,2014,5,3.68,3.62,0.06,2.0,better
Ever After High,2,Ever After High: Spring Unsprung,2015,5,3.58,3.62,-0.04,-1.0,worse
Ever After High,3,Ever After High: Way Too Wonderland,2015,5,3.83,3.62,0.21,6.0,better
Ever After High,4,Ever After High: Dragon Games,2016,5,3.67,3.62,0.05,1.0,better
Ever After High,5,Ever After High: Epic Winter,2016,5,3.35,3.62,-0.27,-7.0,worse
Evil Bong,1,Evil Bong,2006,9,2.15,2.29,-0.14,-6.0,worse
Evil Bong,2,Evil Bong 2: King Bong,2009,9,2.18,2.29,-0.11,-5.0,worse
Evil Bong,3,Evil Bong 3: The Wrath of Bong,2011,9,2.34,2.29,0.05,2.0,better
Evil Bong,4,Gingerdead Man vs. Evil Bong,2013,9,1.95,2.29,-0.34,-15.0,worse
Evil Bong,5,Evil Bong 420,2015,9,2.14,2.29,-0.15,-7.0,worse
Evil Bong,6,Evil Bong: High 5,2016,9,2.39,2.29,0.1,4.0,better
Evil Bong,7,Evil Bong 666,2017,9,2.43,2.29,0.14,6.0,better
Evil Bong,8,Evil Bong 777,2018,9,2.38,2.29,0.09,4.0,better
Evil Bong,9,Evil Bong 888: Infinity High,2022,9,2.61,2.29,0.32,14.0,better
Evil Dead,1,The Evil Dead,1981,3,3.66,3.79,-0.13,-3.0,worse
Evil Dead,2,Evil Dead II,1987,3,4.02,3.79,0.23,6.0,better
Evil Dead,3,Army of Darkness,1992,3,3.7,3.79,-0.09,-2.0,worse
Eyyvah Eyvah [Seri],1,Eyyvah Eyvah,2010,3,3.03,2.95,0.08,3.0,better
Eyyvah Eyvah [Seri],2,Eyyvah Eyvah 2,2011,3,2.95,2.95,0.0,0.0,equal
Eyyvah Eyvah [Seri],3,Eyyvah Eyvah 3,2014,3,2.86,2.95,-0.09,-3.0,worse
F.C. De Kampioenen Collectie,1,F.C. De Kampioenen: Kampioen zijn blijft plezant,2013,5,2.97,2.94,0.03,1.0,better
F.C. De Kampioenen Collectie,2,F.C. De Kampioenen 2: Jubilee General,2015,5,2.98,2.94,0.04,1.0,better
F.C. De Kampioenen Collectie,3,F.C. De Kampioenen 3: Kampioenen Forever,2017,5,2.86,2.94,-0.08,-3.0,worse
F.C. De Kampioenen Collectie,4,F.C. De Kampioenen 4: Viva Boma!,2019,5,2.87,2.94,-0.07,-2.0,worse
F.C. De Kampioenen Collectie,5,F.C. De Kampioenen Kerstspecial,2020,5,3.01,2.94,0.07,2.0,better
FRED,1,FRED: The Movie,2010,3,1.65,1.7,-0.05,-3.0,worse
FRED,2,Fred 2: Night of the Living Fred,2011,3,1.74,1.7,0.04,2.0,better
FRED,3,FRED 3: Camp Fred,2012,3,1.71,1.7,0.01,1.0,better
Fairly OddParents (Animated),1,The Fairly OddParents! Abra Catastrophe,2003,4,3.26,3.33,-0.07,-2.0,worse
Fairly OddParents (Animated),2,The Fairly OddParents: Channel Chasers,2004,4,3.6,3.33,0.27,8.0,better
Fairly OddParents (Animated),3,The Fairly OddParents: School's Out! The Musical,2005,4,3.26,3.33,-0.07,-2.0,worse
Fairly OddParents (Animated),4,The Fairly OddParents: Wishology,2009,4,3.21,3.33,-0.12,-4.0,worse
"Family Guy Trilogy: Laugh It Up, Fuzzball!",1,Family Guy Presents: Blue Harvest,2007,3,3.4,3.32,0.08,2.0,better
"Family Guy Trilogy: Laugh It Up, Fuzzball!",2,"Family Guy Presents: Something, Something, Something, Dark Side",2009,3,3.33,3.32,0.01,0.0,better
"Family Guy Trilogy: Laugh It Up, Fuzzball!",3,Family Guy Presents: It's a Trap!,2010,3,3.23,3.32,-0.09,-3.0,worse
Famous Five,1,Famous Five,2012,5,3.06,3.0,0.06,2.0,better
Famous Five,2,Famous Five 2,2013,5,3.0,3.0,0.0,0.0,equal
Famous Five,3,Famous Five 3,2014,5,2.99,3.0,-0.01,-0.0,worse
Famous Five,4,The Famous Five 4,2015,5,3.01,3.0,0.01,0.0,better
Famous Five,5,The Famous Five and the Valley of Dinosaurs,2018,5,2.93,3.0,-0.07,-2.0,worse
Fantastic Beasts,1,Fantastic Beasts and Where to Find Them,2016,3,3.12,2.72,0.4,15.0,better
Fantastic Beasts,2,Fantastic Beasts: The Crimes of Grindelwald,2018,3,2.53,2.72,-0.19,-7.0,worse
Fantastic Beasts,3,Fantastic Beasts: The Secrets of Dumbledore,2022,3,2.51,2.72,-0.21,-8.0,worse
Fantomas,1,Fantomas,1964,3,3.45,3.36,0.09,3.0,better
Fantomas,2,Fantomas Unleashed,1965,3,3.34,3.36,-0.02,-1.0,worse
Fantomas,3,Fantomas vs. Scotland Yard,1967,3,3.29,3.36,-0.07,-2.0,worse
Fantozzi,1,White Collar Blues,1975,10,3.73,3.25,0.48,15.0,better
Fantozzi,2,The Second Tragic Fantozzi,1976,10,3.66,3.25,0.41,13.0,better
Fantozzi,3,Fantozzi Against the Wind,1980,10,3.39,3.25,0.14,4.0,better
Fantozzi,4,Fantozzi Still Suffers,1983,10,3.29,3.25,0.04,1.0,better
Fantozzi,5,Superfantozzi,1986,10,3.19,3.25,-0.06,-2.0,worse
Fantozzi,6,Fantozzi Retires,1988,10,3.23,3.25,-0.02,-1.0,worse
Fantozzi,7,Fantozzi to the Rescue,1990,10,3.14,3.25,-0.11,-3.0,worse
Fantozzi,8,Fantozzi in Heaven,1993,10,3.12,3.25,-0.13,-4.0,worse
Fantozzi,9,Fantozzi The Return,1996,10,2.97,3.25,-0.28,-9.0,worse
Fantozzi,10,Fantozzi 2000 - The Cloning,1999,10,2.77,3.25,-0.48,-15.0,worse
Fantômas Serial,1,Fantômas: In the Shadow of the Guillotine,1913,5,3.59,3.56,0.03,1.0,better
Fantômas Serial,2,Fantômas: Juve Against Fantômas,1913,5,3.58,3.56,0.02,1.0,better
Fantômas Serial,3,Fantômas: The Dead Man Who Killed,1913,5,3.55,3.56,-0.01,-0.0,worse
Fantômas Serial,4,Fantômas: Fantômas Against Fantômas,1914,5,3.53,3.56,-0.03,-1.0,worse
Fantômas Serial,5,Fantômas: The False Magistrate,1914,5,3.53,3.56,-0.03,-1.0,worse
Fatal Fury,1,Fatal Fury: Legend of the Hungry Wolf,1992,3,3.13,3.19,-0.06,-2.0,worse
Fatal Fury,2,Fatal Fury 2: The New Battle,1993,3,3.27,3.19,0.08,3.0,better
Fatal Fury,3,Fatal Fury: The Motion Picture,1994,3,3.16,3.19,-0.03,-1.0,worse
Fate/Stay Night: Heaven's Feel,1,Fate/stay night: Heaven's Feel I. Presage Flower,2017,3,3.58,3.78,-0.2,-5.0,worse
Fate/Stay Night: Heaven's Feel,2,Fate/stay night: Heaven's Feel II. Lost Butterfly,2019,3,3.83,3.78,0.05,1.0,better
Fate/Stay Night: Heaven's Feel,3,Fate/stay night: Heaven's Feel III. Spring Song,2020,3,3.92,3.78,0.14,4.0,better
Father Knows Best,1,Pushing Hands,1991,3,3.51,3.79,-0.28,-7.0,worse
Father Knows Best,2,The Wedding Banquet,1993,3,3.79,3.79,-0.0,-0.0,equal
Father Knows Best,3,Eat Drink Man Woman,1994,3,4.07,3.79,0.28,7.0,better
Father There Is Only One,1,Father There Is Only One,2019,3,2.8,2.8,-0.0,-0.0,equal
Father There Is Only One,2,Father There Is Only One 2,2020,3,2.79,2.8,-0.01,-0.0,worse
Father There Is Only One,3,Padre no hay mas que uno 3,2022,3,2.81,2.8,0.01,0.0,better
Fear Street,1,Fear Street: 1994,2021,3,3.03,3.23,-0.2,-6.0,worse
Fear Street,2,Fear Street: 1978,2021,3,3.36,3.23,0.13,4.0,better
Fear Street,3,Fear Street: 1666,2021,3,3.29,3.23,0.06,2.0,better
Feast,1,Feast,2005,3,2.97,2.58,0.39,15.0,better
Feast,2,Feast II: Sloppy Seconds,2008,3,2.45,2.58,-0.13,-5.0,worse
Feast,3,Feast III: The Happy Finish,2009,3,2.33,2.58,-0.25,-10.0,worse
Female Prisoner Scorpion,1,Female Prisoner #701: Scorpion,1972,4,3.87,3.63,0.24,7.0,better
Female Prisoner Scorpion,2,Female Prisoner Scorpion: Jailhouse 41,1972,4,3.83,3.63,0.2,6.0,better
Female Prisoner Scorpion,3,Female Prisoner Scorpion: Beast Stable,1973,4,3.66,3.63,0.03,1.0,better
Female Prisoner Scorpion,4,Female Prisoner Scorpion: #701's Grudge Song,1973,4,3.17,3.63,-0.46,-13.0,worse
Fifty Shades,1,Fifty Shades of Grey,2015,3,1.71,1.81,-0.1,-6.0,worse
Fifty Shades,2,Fifty Shades Darker,2017,3,1.87,1.81,0.06,3.0,better
Fifty Shades,3,Fifty Shades Freed,2018,3,1.85,1.81,0.04,2.0,better
Fight Back to School,1,Fight Back to School,1991,3,3.5,3.31,0.19,6.0,better
Fight Back to School,2,Fight Back to School 2,1992,3,3.27,3.31,-0.04,-1.0,worse
Fight Back to School,3,Fight Back to School 3,1993,3,3.16,3.31,-0.15,-5.0,worse
Final Destination,1,Final Destination,2000,5,3.12,2.75,0.37,13.0,better
Final Destination,2,Final Destination 2,2003,5,2.86,2.75,0.11,4.0,better
Final Destination,3,Final Destination 3,2006,5,2.92,2.75,0.17,6.0,better
Final Destination,4,The Final Destination,2009,5,2.1,2.75,-0.65,-24.0,worse
Final Destination,5,Final Destination 5,2011,5,2.73,2.75,-0.02,-1.0,worse
Firefly,1,House of 1000 Corpses,2003,3,3.17,3.05,0.12,4.0,better
Firefly,2,The Devil's Rejects,2005,3,3.34,3.05,0.29,10.0,better
Firefly,3,3 from Hell,2019,3,2.64,3.05,-0.41,-13.0,worse
Flatfoot,1,The Knock Out Cop,1973,4,3.28,3.22,0.06,2.0,better
Flatfoot,2,Flatfoot in Hong Kong,1975,4,3.23,3.22,0.01,0.0,better
Flatfoot,3,Flatfoot in Africa,1978,4,3.2,3.22,-0.02,-1.0,worse
Flatfoot,4,Flatfoot in Egypt,1980,4,3.18,3.22,-0.04,-1.0,worse
Flicka,1,Flicka,2006,3,2.77,2.91,-0.14,-5.0,worse
Flicka,2,Flicka 2,2010,3,2.94,2.91,0.03,1.0,better
Flicka,3,Flicka: Country Pride,2012,3,3.02,2.91,0.11,4.0,better
Flodder,1,Flodder,1986,3,3.18,3.02,0.16,5.0,better
Flodder,2,Flodder Does Manhattan!,1992,3,2.95,3.02,-0.07,-2.0,worse
Flodder,3,Flodder 3,1995,3,2.94,3.02,-0.08,-3.0,worse
Flowers in the Attic,1,Flowers in the Attic,2014,4,2.56,2.56,-0.0,-0.0,equal
Flowers in the Attic,2,Petals on the Wind,2014,4,2.55,2.56,-0.01,-0.0,worse
Flowers in the Attic,3,If There Be Thorns,2015,4,2.53,2.56,-0.03,-1.0,worse
Flowers in the Attic,4,Seeds of Yesterday,2015,4,2.61,2.56,0.05,2.0,better
Flying Guillotine,1,The Flying Guillotine,1975,3,3.31,3.33,-0.02,-1.0,worse
Flying Guillotine,2,Flying Guillotine II,1978,3,3.26,3.33,-0.07,-2.0,worse
Flying Guillotine,3,The Vengeful Beauty,1978,3,3.42,3.33,0.09,3.0,better
Frankenstein (Hammer),1,The Curse of Frankenstein,1957,7,3.51,3.22,0.29,9.0,better
Frankenstein (Hammer),2,The Revenge of Frankenstein,1958,7,3.39,3.22,0.17,5.0,better
Frankenstein (Hammer),3,The Evil of Frankenstein,1964,7,2.96,3.22,-0.26,-8.0,worse
Frankenstein (Hammer),4,Frankenstein Created Woman,1967,7,3.32,3.22,0.1,3.0,better
Frankenstein (Hammer),5,Frankenstein Must Be Destroyed,1969,7,3.32,3.22,0.1,3.0,better
Frankenstein (Hammer),6,The Horror of Frankenstein,1970,7,2.87,3.22,-0.35,-11.0,worse
Frankenstein (Hammer),7,Frankenstein and the Monster from Hell,1974,7,3.17,3.22,-0.05,-2.0,worse
Frankenstein (Universal),1,Frankenstein,1931,5,3.83,3.45,0.38,11.0,better
Frankenstein (Universal),2,The Bride of Frankenstein,1935,5,3.97,3.45,0.52,15.0,better
Frankenstein (Universal),3,Son of Frankenstein,1939,5,3.46,3.45,0.01,0.0,better
Frankenstein (Universal),4,The Ghost of Frankenstein,1942,5,2.94,3.45,-0.51,-15.0,worse
Frankenstein (Universal),5,House of Frankenstein,1944,5,3.03,3.45,-0.42,-12.0,worse
Free Willy,1,Free Willy,1993,3,2.88,2.58,0.3,12.0,better
Free Willy,2,Free Willy 2: The Adventure Home,1995,3,2.49,2.58,-0.09,-3.0,worse
