tconst,averageRating,numVotes,low_votes
tt0003596,6.1,77,False
tt0003598,4.6,22,False
tt0003599,6.4,29,False
tt0003600,6.2,25,False
tt0003605,6.0,20,False
tt0003608,4.0,16,False
tt0003609,5.2,20,False
tt0003617,3.4,25,False
tt0003625,5.2,31,False
tt0003630,4.6,36,False
tt0003632,6.1,23,False
tt0003637,6.2,533,False
tt0003643,6.4,1577,False
tt0003651,7.0,17,False
tt0003657,6.5,294,False
tt0003665,6.3,108,False
tt0003668,5.7,29,False
tt0003670,6.3,41,False
tt0003675,6.6,25,False
tt0003686,6.2,20,False
tt0003688,4.3,18,False
tt0003692,6.5,21,False
tt0003698,6.1,61,False
tt0003724,5.4,46,False
tt0003731,4.5,28,False
tt0003735,5.3,42,False
tt0003740,7.1,4330,False
tt0003743,5.1,58,False
tt0003747,4.6,20,False
tt0003748,8.0,22,False
tt0003752,5.4,17,False
tt0003754,5.6,12,False
tt0003768,3.7,23,False
tt0003771,7.0,18,False
tt0003772,6.0,1147,False
tt0003774,5.4,22,False
tt0003792,4.4,19,False
tt0003799,5.0,20,False
tt0003804,5.3,26,False
tt0003815,6.0,21,False
tt0003816,6.4,52,False
tt0003817,2.7,25,False
tt0003830,5.0,18,False
tt0003838,5.8,48,False
tt0003854,3.7,31,False
tt0003870,5.7,20,False
tt0003871,4.9,24,False
tt0003883,7.2,511,False
tt0003884,6.3,136,False
tt0003886,6.3,38,False
tt0003890,5.8,60,False
tt0003897,6.1,111,False
tt0003930,6.8,1560,False
tt0003952,6.7,1323,False
tt0003957,6.7,18,False
tt0003960,6.1,39,False
tt0003965,6.6,26,False
tt0003973,5.8,341,False
tt0003987,6.6,18,False
tt0003999,5.5,13,False
tt0004003,6.6,13,False
tt0004013,4.5,55,False
tt0004022,6.3,79,False
tt0004026,6.7,1329,False
tt0004027,5.9,35,False
tt0004031,3.6,17,False
tt0004038,5.4,24,False
tt0004047,6.9,18,False
tt0004052,6.8,129,False
tt0004066,6.8,763,False
tt0004099,5.3,576,False
tt0004112,6.4,9,True
tt0004121,5.5,192,False
tt0004125,3.0,22,False
tt0004134,6.4,835,False
tt0004150,5.8,594,False
tt0004155,7.0,18,False
tt0004164,3.8,64,False
tt0004167,7.6,27,False
tt0004177,5.6,11,False
tt0004179,5.0,58,False
tt0004181,6.2,1541,False
tt0004182,6.9,73,False
tt0004199,4.0,35,False
tt0004205,6.1,26,False
tt0004207,5.2,29,False
