method,n_respondents,n_movie_ratings,avg_relevance,avg_would_watch,main_score,avg_group_rank_lower_better,ranked_1st_count,avg_novelty
our_system,15,45,4.066666666666666,4.044444444444444,4.055555555555555,1.6,9.0,3.466666666666667
popular,15,45,3.8444444444444446,3.888888888888889,3.8666666666666667,1.8666666666666667,4.0,2.8
highest_rated,15,45,3.2222222222222223,3.2,3.2111111111111112,2.6,2.0,2.7333333333333334
random,15,45,2.088888888888889,2.1333333333333333,2.111111111111111,3.933333333333333,0.0,3.0
